t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.009,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1763.4,,,-10.5,42.9,73
0.027,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1763.4,,,-21.1,40.7,73
0.058,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1679.8,,,-31.6,38.6,77
0.083,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1913.9,,,-42.1,36.5,75
0.108,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1846.2,,,-52.6,34.3,75
0.127,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1808.9,,,-63.2,32.2,75
0.159,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1788.4,,,-73.7,30.1,75
0.183,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1777.2,,,-84.2,27.9,74
0.202,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1771.0,,,-94.7,25.8,74
0.235,SIGUE_MURO,0,0,0,-640.36,0.0,-105.64,,,1964.0,,1608.4,-100.0,24.8,73
0.259,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,2070.2,,,-100.0,24.8,74
0.277,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,2128.6,,,-100.0,24.8,74
0.309,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1964.3,,,-100.0,24.8,79
0.335,SIGUE_MURO,0,0,0,-640.36,0.0,-80.87,,,1876.0,,1349.4,-100.0,24.8,74
0.353,SIGUE_MURO,0,0,0,-640.36,0.0,-80.13,,,1827.4,,1349.4,-100.0,24.8,74
0.384,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1799.6,,,-100.0,24.8,79
0.409,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1783.3,,,-100.0,24.8,76
0.434,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1774.3,,,-100.0,24.8,76
0.453,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1769.4,,,-100.0,24.8,76
0.486,SIGUE_MURO,0,0,0,-640.36,0.0,-105.64,,,1766.7,,1690.4,-100.0,24.8,76
0.509,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1765.2,,,-100.0,24.8,78
0.528,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1764.4,,,-100.0,24.8,78
0.559,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1960.4,,,-100.0,24.8,76
0.584,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1871.7,,,-100.0,24.8,72
0.603,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1823.0,,,-100.0,24.8,72
0.635,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1797.2,,,-100.0,24.8,73
0.659,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1782.0,,,-100.0,24.8,77
0.678,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1773.6,,,-100.0,24.8,77
0.71,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1965.5,,,-100.0,24.8,73
0.735,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1875.6,,,-100.0,24.8,76
0.754,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1826.1,,,-100.0,24.8,76
0.786,SIGUE_MURO,0,0,0,-640.36,0.0,-105.64,,,1797.9,,2072.5,-100.0,24.8,77
0.811,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1782.4,,,-100.0,24.8,75
0.836,SIGUE_MURO,0,0,0,-640.36,0.0,-105.64,,,1773.8,,1651.4,-100.0,24.8,78
0.854,SIGUE_MURO,0,0,0,-640.36,0.0,-105.64,,,1769.1,,1651.4,-100.0,24.8,78
0.885,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1766.5,,,-100.0,24.8,73
0.91,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1765.1,,,-100.0,24.8,74
0.929,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1764.3,,,-100.0,24.8,74
0.961,SIGUE_MURO,0,0,0,-640.36,0.0,-105.64,,,1763.9,,1231.4,-100.0,24.8,73
0.985,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1762.6,,,-100.0,24.8,73
1.004,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1761.9,,,-100.0,24.8,73
1.036,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1762.6,,,-100.0,24.8,74
1.062,SIGUE_MURO,0,0,0,-640.36,0.0,-105.64,,,1959.4,,1573.8,-100.0,24.8,79
1.079,SIGUE_MURO,0,0,0,-640.36,0.0,-105.64,,,2067.7,,1573.8,-100.0,24.8,79
1.111,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,2127.2,,,-100.0,24.8,78
1.137,SIGUE_MURO,0,0,0,-640.36,0.0,-105.64,,,1963.5,,1734.1,-100.0,24.8,73
1.155,SIGUE_MURO,0,0,0,-640.36,0.0,-105.64,,,1873.4,,1734.1,-100.0,24.8,73
1.186,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1823.9,,,-100.0,24.8,73
1.211,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1796.7,,,-100.0,24.8,76
1.236,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1781.7,,,-100.0,24.8,70
1.255,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1773.5,,,-100.0,24.8,70
1.286,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1965.4,,,-100.0,24.8,73
1.311,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1875.5,,,-100.0,24.8,75
1.33,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1826.1,,,-100.0,24.8,75
1.362,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1797.9,,,-100.0,24.8,75
1.388,SIGUE_MURO,0,0,0,-640.36,0.0,-105.64,,,1978.8,,1870.5,-100.0,24.8,73
1.405,SIGUE_MURO,0,0,0,-640.36,0.0,-105.64,,,2078.4,,1870.5,-100.0,24.8,73
1.436,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1936.6,,,-100.0,24.8,73
1.462,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1858.7,,,-100.0,24.8,78
1.481,SIGUE_MURO,0,0,0,-640.36,0.0,-79.64,,,1815.8,,,-100.0,24.8,78
1.512,SIGUE_MURO,0,0,0,0.0,0.0,0.0,,,1792.2,,,-89.5,26.9,75
1.537,SIGUE_MURO,0,0,0,0.0,0.0,0.0,,,1768.0,,,-78.9,29.0,75
1.556,SIGUE_MURO,0,0,0,0.0,0.0,0.0,,,1754.7,,,-68.4,31.1,75
1.589,SIGUE_MURO,0,0,0,0.0,0.0,-26.0,,,1758.6,,1609.8,-62.4,32.4,78
1.612,SIGUE_MURO,0,0,0,0.0,0.0,0.0,,,1761.8,,,-51.9,34.5,75
1.639,SIGUE_MURO,0,0,0,0.0,0.0,0.0,,,1959.0,,,-41.4,36.6,76
1.656,SIGUE_MURO,0,0,0,0.02,0.0,-0.02,,,2067.4,,,-30.8,38.8,76
1.689,SIGUE_MURO,0,0,0,0.02,0.0,-26.02,,,1930.6,,1479.8,-41.4,36.6,76
1.716,SIGUE_MURO,0,0,0,-0.68,0.0,-25.32,,,1838.1,,1200.8,-51.9,34.5,84
1.731,SIGUE_MURO,0,0,0,-0.68,0.0,-25.32,,,1787.2,,1200.8,-60.8,32.7,84
1.763,SIGUE_MURO,0,0,0,-0.68,0.0,0.68,,,1973.0,,,-50.2,34.8,82
1.788,SIGUE_MURO,0,0,0,-1.34,0.0,1.34,,,2075.1,,,-39.7,37.0,83
1.806,SIGUE_MURO,0,0,0,-1.34,0.0,1.34,,,2131.3,,,-29.2,39.1,83
1.838,SIGUE_MURO,0,0,0,-2.37,0.0,2.37,,,2162.2,,,-18.7,41.2,88
1.863,SIGUE_MURO,0,0,0,-2.37,0.0,2.37,,,1970.4,,,-8.1,43.4,94
1.882,SIGUE_MURO,0,0,0,-4.76,0.0,4.76,,,1864.9,,,2.4,44.5,94
1.914,SIGUE_MURO,0,0,0,-4.76,0.0,-21.24,,,2015.7,,1167.3,-8.1,43.4,96
1.939,SIGUE_MURO,0,0,0,-6.08,0.0,-18.35,,,2098.6,,1301.9,-18.7,41.2,102
1.963,SIGUE_MURO,0,0,0,-6.08,0.0,6.08,,,2144.3,,,-8.1,43.4,105
1.982,SIGUE_MURO,0,0,0,-6.08,0.0,6.08,,,2169.3,,,2.4,44.5,105
2.014,SIGUE_MURO,0,0,0,-7.38,0.0,7.38,,,2183.1,,,12.9,42.4,108
2.039,SIGUE_MURO,0,0,0,-7.38,0.0,7.38,,,1635.0,,,17.7,41.4,104
2.057,SIGUE_MURO,0,0,0,-8.8,0.0,8.8,,,1333.6,,,21.1,40.7,104
2.088,SIGUE_MURO,0,0,0,-8.8,0.0,8.8,,,1723.5,,,21.1,40.7,108
2.113,SIGUE_MURO,0,0,0,-8.8,0.0,8.8,,,1349.0,,,21.1,40.7,116
2.132,SIGUE_MURO,0,0,0,-8.8,0.0,8.8,,,1143.0,,,21.1,40.7,116
2.163,SIGUE_MURO,0,0,0,-8.6,0.0,8.6,,,1030.0,,,20.6,40.8,116
2.189,SIGUE_MURO,0,0,0,-8.6,0.0,8.6,,,951.7,,,20.6,40.8,113
2.207,SIGUE_MURO,0,0,0,-7.32,0.0,7.32,,,908.6,,,17.6,41.4,113
2.24,SIGUE_MURO,0,0,0,-7.32,0.0,7.32,,,900.3,,,17.6,41.4,105
2.264,SIGUE_MURO,0,0,0,-6.08,0.0,6.08,,,931.3,,,14.6,42.0,89
2.283,SIGUE_MURO,0,0,0,-6.08,0.0,6.08,,,948.4,,,14.6,42.0,89
2.314,SIGUE_MURO,0,0,0,-6.08,0.0,6.08,,,1237.3,,,14.6,42.0,81
2.339,SIGUE_MURO,0,0,0,-3.1,0.0,3.1,,,1670.5,,,7.4,43.5,72
2.364,SIGUE_MURO,0,0,0,-3.1,0.0,3.1,,,1908.8,,,7.4,43.5,52
2.383,SIGUE_MURO,0,0,0,-1.59,0.0,1.59,,,2039.8,,,3.8,44.2,52
2.415,SIGUE_MURO,0,0,0,-1.59,0.0,1.59,,,2111.9,,,3.8,44.2,49
2.44,SIGUE_MURO,0,0,0,-0.03,0.0,0.03,,,1761.5,,,0.1,45.0,59
2.458,SIGUE_MURO,0,0,0,-0.03,0.0,0.03,,,1568.8,,,0.1,45.0,59
2.49,SIGUE_MURO,0,0,0,3.2,0.0,-3.2,,,1852.8,,,-7.7,43.4,67
2.514,SIGUE_MURO,0,0,0,3.2,0.0,-3.2,,,2009.1,,,-7.7,43.4,52
2.533,SIGUE_MURO,0,0,0,4.65,0.0,-4.65,,,2095.0,,,-11.2,42.7,52
2.564,SIGUE_MURO,0,0,0,4.65,0.0,-4.65,,,2142.2,,,-11.2,42.7,54
2.589,SIGUE_MURO,0,0,0,6.14,0.0,-6.14,,,2168.2,,,-14.7,42.0,55
2.609,SIGUE_MURO,0,0,0,6.14,0.0,-6.14,,,2182.5,,,-14.7,42.0,55
2.641,SIGUE_MURO,0,0,0,6.14,0.0,-32.14,,,2190.4,,1536.9,-25.3,39.9,47
2.666,SIGUE_MURO,0,0,0,8.56,0.0,-34.56,,,2194.7,,1434.6,-35.8,37.8,50
2.691,SIGUE_MURO,0,0,0,8.56,0.0,-34.56,,,2197.1,,1409.8,-46.3,35.6,41
2.709,SIGUE_MURO,0,0,0,9.52,0.0,-35.52,,,2198.4,,1409.8,-56.8,33.5,41
2.742,SIGUE_MURO,0,0,0,9.52,0.0,-35.52,,,2199.1,,1496.4,-67.4,31.3,52
2.766,SIGUE_MURO,0,0,0,10.52,0.0,-36.52,,,2199.5,,1465.0,-77.9,29.2,56
2.784,SIGUE_MURO,0,0,0,10.52,0.0,-36.52,,,2199.7,,1465.0,-87.6,27.3,56
2.818,SIGUE_MURO,0,0,0,10.73,0.0,-36.73,,,2199.9,,1394.2,-88.2,27.1,56
2.842,SIGUE_MURO,0,0,0,10.73,0.0,-36.73,,,2199.9,,1337.3,-88.2,27.1,49
2.859,SIGUE_MURO,0,0,0,10.6,0.0,-36.6,,,2200.0,,1337.3,-87.8,27.2,49
2.892,SIGUE_MURO,1,0,0,10.6,0.0,4.18,432.4,1449.1,2200.0,664.2,1881.4,-77.3,29.3,43
2.915,SIGUE_MURO,1,0,0,9.35,0.0,6.23,437.2,,2200.0,1340.0,,-66.8,31.5,75
2.935,SIGUE_MURO,1,0,0,9.35,0.0,6.69,439.9,,2200.0,1340.0,,-56.3,33.6,75
2.965,SIGUE_MURO,1,0,0,9.35,0.0,5.95,435.2,,2200.0,1314.0,,-45.7,35.7,80
2.991,SIGUE_MURO,1,0,0,7.91,0.0,5.9,425.9,,2200.0,,,-35.2,37.9,81
3.01,SIGUE_MURO,1,0,0,7.91,0.0,5.07,420.9,,2200.0,,,-24.7,40.0,81
3.041,SIGUE_MURO,1,0,0,5.87,0.0,5.47,411.0,,2200.0,,,-14.2,42.1,88
3.066,SIGUE_MURO,1,0,0,5.87,0.0,3.4,398.5,,2200.0,,,-3.6,44.3,94
3.091,SIGUE_MURO,1,0,0,1.33,0.0,5.56,384.1,,2200.0,,,6.9,43.6,101
3.11,SIGUE_MURO,1,0,0,1.33,0.0,4.22,376.2,,2200.0,,,10.1,43.0,101
3.142,SIGUE_MURO,1,0,0,-1.03,0.0,5.82,371.9,,2200.0,,,14.0,42.2,90
3.166,SIGUE_MURO,1,0,0,-1.03,0.0,1.3,354.6,,2200.0,536.6,,3.5,44.3,94
3.185,SIGUE_MURO,1,0,0,-2.64,0.0,2.53,345.1,,2200.0,536.6,,6.1,43.8,94
3.217,SIGUE_MURO,1,0,0,-2.64,0.0,1.04,332.4,,2200.0,,,2.5,44.5,95
3.242,SIGUE_MURO,1,0,0,-4.27,0.0,6.81,358.8,,2200.0,,,13.0,42.4,76
3.26,SIGUE_MURO,1,0,0,-4.27,0.0,9.05,373.3,,2200.0,,,21.7,40.6,76
3.292,SIGUE_MURO,1,0,0,-4.27,0.0,14.48,407.2,,2200.0,,,32.2,38.5,58
3.316,SIGUE_MURO,1,0,0,-4.04,0.0,17.82,429.5,,2200.0,,,42.8,36.3,49
3.336,SIGUE_MURO,1,0,0,-4.04,0.0,19.79,441.8,,2200.0,,,47.5,35.4,49
3.366,SIGUE_MURO,1,0,0,-3.44,0.0,25.99,484.3,,2200.0,,,58.0,33.3,46
3.392,SIGUE_MURO,1,0,0,-3.44,0.0,14.58,413.0,,2200.0,,,47.5,35.4,52
3.411,SIGUE_MURO,1,0,0,-1.53,0.0,6.4,373.8,,2200.0,,,37.0,37.5,52
3.442,SIGUE_MURO,1,0,0,-1.53,0.0,18.56,449.8,,2200.0,,,44.5,36.0,50
3.468,SIGUE_MURO,1,0,0,-0.49,0.0,1.82,388.8,,2200.0,607.2,,34.0,38.1,66
3.492,SIGUE_MURO,1,0,0,-0.49,0.0,2.82,358.9,,2200.0,,,23.5,40.2,97
3.511,SIGUE_MURO,1,0,0,3.26,0.0,-3.64,342.4,,2200.0,,,13.0,42.4,97
