t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.009,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,10.5,42.9,0
0.037,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,21.1,40.7,0
0.061,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,31.6,38.6,0
0.086,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,42.1,36.5,0
0.109,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,52.6,34.3,0
0.136,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,63.2,32.2,0
0.161,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,73.7,30.1,0
0.186,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,84.2,27.9,0
0.209,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,94.7,25.8,0
0.236,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.262,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.287,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.309,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.337,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.362,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.387,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.41,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.437,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.462,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.488,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.51,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.537,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.562,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.587,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.61,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.637,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.662,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.687,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.711,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.738,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.763,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.788,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.811,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.838,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.863,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.888,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
0.911,SIGUE_MURO,0,0,0,-85.46,0.0,85.46,,,9999.0,,,100.0,24.8,0
