t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.013,SIGUE_MURO,0,0,0,-375.13,0.0,25.9,,,2200.0,,1150.8,10.5,42.9,93
0.038,SIGUE_MURO,0,0,0,-375.13,0.0,24.97,,,2200.0,,1127.7,21.0,40.7,98
0.063,SIGUE_MURO,0,0,0,-375.13,0.0,25.45,,,2200.0,,1153.3,31.6,38.6,93
0.082,SIGUE_MURO,0,0,0,-375.13,0.0,25.71,,,2200.0,,1153.3,42.1,36.5,93
0.114,SIGUE_MURO,0,0,0,-375.13,0.0,38.39,,,2200.0,,1493.8,52.6,34.3,93
0.14,SIGUE_MURO,0,0,0,-375.13,0.0,28.99,,,2200.0,,1045.9,63.2,32.2,95
0.158,SIGUE_MURO,0,0,0,-375.13,0.0,23.83,,,2200.0,,1045.9,57.2,33.4,95
0.189,SIGUE_MURO,0,0,0,-375.13,0.0,25.28,,,2200.0,,1167.3,60.7,32.7,92
0.213,SIGUE_MURO,0,0,0,-375.13,0.0,25.74,,,2200.0,,1158.0,61.8,32.5,93
0.233,SIGUE_MURO,0,0,0,-375.13,0.0,26.0,,,2200.0,,1158.0,62.4,32.4,93
0.264,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,2052.1,72.9,30.2,95
0.289,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,1182.8,83.4,28.1,93
0.308,SIGUE_MURO,0,0,0,-375.13,0.0,37.27,,,2200.0,,1182.8,89.4,26.9,93
0.339,SIGUE_MURO,0,0,0,-375.13,0.0,31.05,,,2200.0,,1125.7,78.9,29.0,97
0.364,SIGUE_MURO,0,0,0,-375.13,0.0,29.82,,,2200.0,,1182.3,71.6,30.5,94
0.383,SIGUE_MURO,0,0,0,-375.13,0.0,29.15,,,2200.0,,1182.3,70.0,30.8,94
0.414,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,1753.3,80.5,28.7,93
0.439,SIGUE_MURO,0,0,0,-375.13,0.0,31.61,,,2200.0,,948.6,75.9,29.6,95
0.464,SIGUE_MURO,0,0,0,-375.13,0.0,25.67,,,2200.0,,1054.4,65.3,31.8,93
0.483,SIGUE_MURO,0,0,0,-375.13,0.0,22.41,,,2200.0,,1054.4,54.8,33.9,93
0.514,SIGUE_MURO,0,0,0,-375.13,0.0,38.07,,,2200.0,,1543.1,65.3,31.8,96
0.539,SIGUE_MURO,0,0,0,-375.13,0.0,28.58,,,2200.0,,1046.7,68.6,31.1,92
0.559,SIGUE_MURO,0,0,0,-375.13,0.0,23.35,,,2200.0,,1046.7,58.1,33.2,92
0.59,SIGUE_MURO,0,0,0,-375.13,0.0,25.24,,,2200.0,,1169.6,60.6,32.7,93
0.614,SIGUE_MURO,0,0,0,-375.13,0.0,24.32,,,2200.0,,1114.8,58.4,33.2,95
0.634,SIGUE_MURO,0,0,0,-375.13,0.0,23.82,,,2200.0,,1114.8,57.2,33.4,95
0.665,SIGUE_MURO,0,0,0,-375.13,0.0,31.54,,,2200.0,,1338.7,67.7,31.3,93
0.69,SIGUE_MURO,0,0,0,-375.13,0.0,34.33,,,2200.0,,1300.0,78.2,29.2,98
0.715,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,1694.4,88.7,27.0,93
0.734,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,1694.4,98.7,25.0,93
0.765,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,1157.6,98.7,25.0,95
0.784,SIGUE_MURO,0,0,0,-375.13,0.0,36.24,,,2200.0,,1157.6,88.2,27.1,95
0.815,SIGUE_MURO,0,0,0,-375.13,0.0,36.97,,,2200.0,,1301.9,88.7,27.0,94
0.84,SIGUE_MURO,0,0,0,-375.13,0.0,28.34,,,2200.0,,1043.1,78.2,29.2,95
0.865,SIGUE_MURO,0,0,0,-375.13,0.0,31.37,,,2200.0,,1261.8,75.3,29.8,95
0.884,SIGUE_MURO,0,0,0,-375.13,0.0,33.03,,,2200.0,,1261.8,79.3,28.9,95
0.915,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,1543.3,89.8,26.8,91
0.94,SIGUE_MURO,0,0,0,-375.13,0.0,32.4,,,2200.0,,1056.7,79.3,28.9,93
0.96,SIGUE_MURO,0,0,0,-375.13,0.0,25.94,,,2200.0,,1056.7,68.8,31.1,93
0.99,SIGUE_MURO,0,0,0,-375.13,0.0,24.44,,,2200.0,,1110.8,58.7,33.1,93
1.015,SIGUE_MURO,0,0,0,-375.13,0.0,23.65,,,2200.0,,1106.9,56.8,33.5,95
1.035,SIGUE_MURO,0,0,0,-375.13,0.0,23.21,,,2200.0,,1106.9,55.7,33.7,95
1.066,SIGUE_MURO,0,0,0,-375.13,0.0,26.57,,,2200.0,,1210.6,63.8,32.1,94
1.091,SIGUE_MURO,0,0,0,-375.13,0.0,36.12,,,2200.0,,1423.2,74.3,30.0,95
1.11,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,1423.2,84.9,27.8,95
1.143,SIGUE_MURO,0,0,0,-375.13,0.0,32.84,,,2200.0,,1108.2,78.8,29.0,92
1.168,SIGUE_MURO,0,0,0,-375.13,0.0,27.14,,,2200.0,,1076.8,68.3,31.2,94
1.192,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,2080.9,78.8,29.0,98
1.21,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,2080.9,89.3,26.9,98
1.242,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,1213.4,98.7,25.0,93
1.268,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,1107.2,98.7,25.0,93
1.286,SIGUE_MURO,0,0,0,-375.13,0.0,33.06,,,2200.0,,1107.2,88.2,27.1,93
1.317,SIGUE_MURO,0,0,0,-375.13,0.0,28.67,,,2200.0,,1118.2,77.7,29.3,94
1.342,SIGUE_MURO,0,0,0,-375.13,0.0,31.1,,,2200.0,,1250.9,74.6,29.9,95
1.361,SIGUE_MURO,0,0,0,-375.13,0.0,32.44,,,2200.0,,1250.9,77.9,29.2,95
1.392,SIGUE_MURO,0,0,0,-375.13,0.0,27.57,,,2200.0,,1098.6,67.3,31.4,94
1.417,SIGUE_MURO,0,0,0,-375.13,0.0,27.59,,,2200.0,,1171.0,66.2,31.6,93
1.442,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,1933.2,76.8,29.5,95
1.461,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,1933.2,87.3,27.3,95
1.492,SIGUE_MURO,0,0,0,-375.13,0.0,41.13,,,2200.0,,1729.9,97.8,25.2,98
1.512,SIGUE_MURO,0,0,0,0.0,0.0,26.0,,,2200.0,,1729.9,87.3,27.3,98
1.542,SIGUE_MURO,0,0,0,0.0,0.0,26.0,,,2200.0,,1217.9,76.7,29.5,93
1.567,SIGUE_MURO,0,0,0,0.0,0.0,26.0,,,2200.0,,1224.3,66.2,31.6,93
1.593,SIGUE_MURO,0,0,0,0.0,0.0,20.15,,,2200.0,,1138.7,55.7,33.7,98
1.612,SIGUE_MURO,0,0,0,0.03,0.0,15.31,,,2200.0,,1138.7,45.2,35.9,98
1.643,SIGUE_MURO,0,0,0,0.03,0.0,12.81,,,2200.0,,1146.5,34.6,38.0,93
1.668,SIGUE_MURO,0,0,0,0.05,0.0,13.73,,,2200.0,,1212.4,33.0,38.3,93
1.687,SIGUE_MURO,0,0,0,0.05,0.0,14.25,,,2200.0,,1212.4,34.2,38.1,93
1.718,SIGUE_MURO,0,0,0,0.05,0.0,25.95,,,2200.0,,1554.2,44.7,35.9,98
1.743,SIGUE_MURO,0,0,0,-0.03,0.0,25.82,,,2200.0,,1338.8,55.3,33.8,94
1.762,SIGUE_MURO,0,0,0,-0.03,0.0,24.95,,,2200.0,,1338.8,59.9,32.9,94
1.793,SIGUE_MURO,0,0,0,-1.12,0.0,25.93,,,2200.0,,1351.1,62.2,32.4,91
1.818,SIGUE_MURO,0,0,0,-1.12,0.0,18.72,,,2200.0,,1187.2,51.7,34.5,95
1.843,SIGUE_MURO,0,0,0,-2.21,0.0,14.11,,,2200.0,,1145.8,41.2,36.7,89
1.862,SIGUE_MURO,0,0,0,-2.21,0.0,10.97,,,2200.0,,1145.8,30.7,38.8,89
1.893,SIGUE_MURO,0,0,0,-4.82,0.0,24.24,,,2200.0,,1538.5,41.2,36.7,86
1.918,SIGUE_MURO,0,0,0,-4.82,0.0,30.82,,,2200.0,,1499.9,51.7,34.5,88
1.938,SIGUE_MURO,0,0,0,-6.07,0.0,32.07,,,2200.0,,1499.9,62.2,32.4,88
1.968,SIGUE_MURO,0,0,0,-6.07,0.0,32.07,,,2200.0,,1247.1,72.8,30.3,83
1.993,SIGUE_MURO,0,0,0,-7.42,0.0,7.42,,,2200.0,,,62.2,32.4,86
2.013,SIGUE_MURO,0,0,0,-7.42,0.0,7.42,,,2200.0,,,51.7,34.5,86
2.043,SIGUE_MURO,0,0,0,-7.42,0.0,7.42,,,2200.0,,,41.2,36.7,86
2.068,SIGUE_MURO,0,0,0,-10.18,0.0,10.18,,,2200.0,,,30.7,38.8,91
2.088,SIGUE_MURO,0,0,0,-10.18,0.0,10.18,,,2200.0,,,24.4,40.1,91
2.119,SIGUE_MURO,0,0,0,-11.53,0.0,11.53,,,2200.0,,,27.7,39.4,94
2.144,SIGUE_MURO,0,0,0,-11.53,0.0,11.53,,,2200.0,,,27.7,39.4,99
2.163,SIGUE_MURO,0,0,0,-12.94,0.0,12.94,,,2200.0,,,31.1,38.7,99
2.194,SIGUE_MURO,0,0,0,-12.94,0.0,12.94,,,2200.0,,,31.1,38.7,104
2.219,SIGUE_MURO,0,0,0,-16.12,0.0,16.12,,,2200.0,,,38.7,37.2,109
2.244,SIGUE_MURO,0,0,0,-16.12,0.0,16.12,,,2105.5,,,38.7,37.2,115
2.264,SIGUE_MURO,0,0,0,-17.76,0.0,17.76,,,2053.5,,,42.6,36.4,115
2.295,SIGUE_MURO,0,0,0,-17.76,0.0,17.76,,,1916.7,,,42.6,36.4,118
2.32,SIGUE_MURO,0,0,0,-18.78,0.0,18.78,,,1727.2,,,45.1,35.9,123
2.339,SIGUE_MURO,0,0,0,-18.78,0.0,18.78,,,1623.0,,,45.1,35.9,123
2.371,SIGUE_MURO,0,0,0,-18.78,0.0,18.78,,,1882.6,,,45.1,35.9,124
2.395,SIGUE_MURO,0,0,0,-20.55,0.0,20.55,,,1635.4,,,49.3,35.0,129
2.414,SIGUE_MURO,0,0,0,-20.55,0.0,20.55,,,1499.5,,,49.3,35.0,129
2.446,SIGUE_MURO,0,0,0,-21.57,0.0,21.57,,,1485.9,,,51.8,34.5,134
2.471,SIGUE_MURO,0,0,0,-21.57,0.0,21.57,,,1410.8,,,51.8,34.5,140
2.489,SIGUE_MURO,0,0,0,-22.65,0.0,22.65,,,1369.4,,,54.4,34.0,140
2.521,SIGUE_MURO,0,0,0,-22.65,0.0,22.65,,,1336.4,,,54.4,34.0,147
2.546,SIGUE_MURO,0,0,0,-24.89,0.0,24.89,,,1358.9,,,59.7,32.9,166
2.571,SIGUE_MURO,0,0,0,-24.89,0.0,24.89,,,1260.5,,,59.7,32.9,205
2.589,SIGUE_MURO,0,0,0,-25.96,0.0,25.96,,,1206.3,,,62.3,32.4,205
2.62,SIGUE_MURO,0,0,0,-25.96,0.0,25.96,,,1064.8,,,62.3,32.4,206
2.647,SIGUE_MURO,0,0,0,-28.26,0.0,28.26,,,982.5,,,67.8,31.3,207
2.665,SIGUE_MURO,0,0,0,-28.26,0.0,28.26,,,937.3,,,67.8,31.3,207
2.697,SIGUE_MURO,0,0,0,-28.26,0.0,28.26,,,896.9,,,67.8,31.3,208
2.721,SIGUE_MURO,0,0,0,-29.64,0.0,16.89,,,1011.1,,1308.9,57.3,33.4,208
2.74,SIGUE_MURO,0,0,0,-29.64,0.0,18.64,,,1073.9,,1308.9,46.8,35.5,208
2.772,SIGUE_MURO,0,0,0,-30.99,0.0,4.99,,,946.2,,2022.9,36.3,37.7,209
2.798,SIGUE_MURO,0,0,0,-30.99,0.0,4.99,,,863.0,,1033.5,25.7,39.8,212
