t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.002,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1458.4,,,10.5,42.9,214
0.034,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1472.4,,,21.1,40.7,214
0.052,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1480.2,,,31.6,38.6,214
0.085,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1486.2,,,32.8,38.4,213
0.102,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1489.6,,,32.8,38.4,213
0.134,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1475.5,,,32.8,38.4,214
0.153,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1467.8,,,32.8,38.4,214
0.178,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1463.6,,,32.8,38.4,214
0.209,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1463.0,,,32.8,38.4,214
0.228,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1462.7,,,32.8,38.4,214
0.259,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1460.8,,,32.8,38.4,214
0.278,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1459.7,,,32.8,38.4,214
0.309,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1473.1,,,32.8,38.4,214
0.328,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1480.5,,,32.8,38.4,214
0.353,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1484.6,,,32.8,38.4,214
0.385,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1485.6,,,32.8,38.4,214
0.403,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1486.1,,,32.8,38.4,214
0.435,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1487.7,,,32.8,38.4,214
0.453,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1488.5,,,32.8,38.4,214
0.485,SIGUE_MURO,0,0,0,-13.68,0.0,13.68,,,1489.0,,,32.8,38.4,214
