t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.012,SIGUE_MURO,0,0,0,-79.42,0.0,72.53,,,1863.5,,1010.9,10.5,42.9,155
0.045,SIGUE_MURO,0,0,0,-79.42,0.0,79.33,,,1863.5,,1025.8,21.1,40.7,157
0.062,SIGUE_MURO,0,0,0,-79.42,0.0,83.07,,,1863.5,,1025.8,31.6,38.6,157
0.094,SIGUE_MURO,0,0,0,-79.42,0.0,80.42,,,1863.5,,963.2,42.1,36.5,158
0.112,SIGUE_MURO,0,0,0,-79.42,0.0,78.97,,,1863.5,,963.2,52.6,34.3,158
0.145,SIGUE_MURO,0,0,0,-79.42,0.0,77.28,,,1863.5,,938.4,63.2,32.2,158
0.162,SIGUE_MURO,0,0,0,-79.42,0.0,76.35,,,1863.5,,938.4,73.7,30.1,158
0.187,SIGUE_MURO,0,0,0,-79.42,0.0,75.84,,,1863.5,,938.4,84.3,27.9,158
0.22,SIGUE_MURO,0,0,0,-79.42,0.0,76.66,,,1863.5,,1045.6,94.8,25.8,160
0.237,SIGUE_MURO,0,0,0,-79.42,0.0,77.12,,,1863.5,,1045.6,100.0,24.8,160
0.271,SIGUE_MURO,0,0,0,-79.42,0.0,81.02,,,1863.5,,1176.5,100.0,24.8,162
0.287,SIGUE_MURO,0,0,0,-79.42,0.0,83.17,,,1863.5,,1176.5,100.0,24.8,162
0.321,SIGUE_MURO,0,0,0,-79.42,0.0,73.18,,,1862.2,,836.7,100.0,24.8,158
0.337,SIGUE_MURO,0,0,0,-79.42,0.0,67.68,,,1861.4,,836.7,100.0,24.8,158
0.371,SIGUE_MURO,0,0,0,-79.42,0.0,68.85,,,1862.4,,982.6,100.0,24.8,158
0.388,SIGUE_MURO,0,0,0,-79.42,0.0,69.49,,,1862.9,,982.6,100.0,24.8,158
0.413,SIGUE_MURO,0,0,0,-79.42,0.0,69.85,,,1863.2,,982.6,100.0,24.8,158
0.446,SIGUE_MURO,0,0,0,-79.42,0.0,74.11,,,1863.3,,1008.9,100.0,24.8,161
0.463,SIGUE_MURO,0,0,0,-79.42,0.0,76.45,,,1863.4,,1008.9,100.0,24.8,161
0.496,SIGUE_MURO,0,0,0,-79.42,0.0,71.7,,,1863.4,,927.7,100.0,24.8,155
0.513,SIGUE_MURO,0,0,0,-79.42,0.0,69.08,,,1863.5,,927.7,100.0,24.8,155
0.546,SIGUE_MURO,0,0,0,-79.42,0.0,63.59,,,1863.5,,924.3,100.0,24.8,161
0.563,SIGUE_MURO,0,0,0,-79.42,0.0,60.57,,,1863.5,,924.3,100.0,24.8,161
0.588,SIGUE_MURO,0,0,0,-79.42,0.0,58.91,,,1863.5,,924.3,100.0,24.8,161
0.621,SIGUE_MURO,0,0,0,-79.42,0.0,65.58,,,1863.5,,939.0,100.0,24.8,159
0.638,SIGUE_MURO,0,0,0,-79.42,0.0,69.24,,,1863.5,,939.0,100.0,24.8,159
0.671,SIGUE_MURO,0,0,0,-79.42,0.0,79.42,,,1863.5,,,100.0,24.8,159
0.688,SIGUE_MURO,0,0,0,-79.42,0.0,79.42,,,1863.5,,,100.0,24.8,159
0.722,SIGUE_MURO,0,0,0,-79.42,0.0,65.39,,,1863.5,,947.5,100.0,24.8,154
0.739,SIGUE_MURO,0,0,0,-79.42,0.0,63.99,,,1863.5,,947.5,100.0,24.8,154
0.772,SIGUE_MURO,0,0,0,-79.42,0.0,67.07,,,1863.5,,989.7,100.0,24.8,156
0.789,SIGUE_MURO,0,0,0,-79.42,0.0,68.77,,,1863.5,,989.7,100.0,24.8,156
0.814,SIGUE_MURO,0,0,0,-79.42,0.0,69.7,,,1863.5,,989.7,100.0,24.8,156
0.847,SIGUE_MURO,0,0,0,-79.42,0.0,69.29,,,1863.5,,964.2,100.0,24.8,157
0.864,SIGUE_MURO,0,0,0,-79.42,0.0,69.07,,,1863.5,,964.2,100.0,24.8,157
0.895,SIGUE_MURO,0,0,0,-79.42,0.0,79.42,,,2014.9,,,100.0,24.8,161
0.914,SIGUE_MURO,0,0,0,-79.42,0.0,79.42,,,2098.2,,,100.0,24.8,161
0.948,SIGUE_MURO,0,0,0,-79.42,0.0,75.8,,,1992.6,,1010.3,100.0,24.8,159
0.964,SIGUE_MURO,0,0,0,-79.42,0.0,75.38,,,1934.5,,1010.3,100.0,24.8,159
0.989,SIGUE_MURO,0,0,0,-79.42,0.0,75.14,,,1902.6,,1010.3,100.0,24.8,159
1.023,SIGUE_MURO,0,0,0,-79.42,0.0,73.47,,,1885.0,,967.6,100.0,24.8,158
1.039,SIGUE_MURO,0,0,0,-79.42,0.0,72.56,,,1875.3,,967.6,100.0,24.8,158
1.072,SIGUE_MURO,0,0,0,-79.42,0.0,74.33,,,1870.0,,886.5,100.0,24.8,154
1.089,SIGUE_MURO,0,0,0,-79.42,0.0,75.3,,,1867.1,,886.5,100.0,24.8,154
1.123,SIGUE_MURO,0,0,0,-79.42,0.0,80.74,,,1865.5,,1166.9,100.0,24.8,160
1.14,SIGUE_MURO,0,0,0,-79.42,0.0,83.73,,,1864.6,,1166.9,100.0,24.8,160
1.172,SIGUE_MURO,0,0,0,-79.42,0.0,77.01,,,1864.1,,858.5,100.0,24.8,160
1.19,SIGUE_MURO,0,0,0,-79.42,0.0,73.32,,,1863.8,,858.5,100.0,24.8,160
1.215,SIGUE_MURO,0,0,0,-79.42,0.0,71.29,,,1863.7,,858.5,100.0,24.8,160
1.246,SIGUE_MURO,0,0,0,-79.42,0.0,79.42,,,2015.0,,,100.0,24.8,155
1.265,SIGUE_MURO,0,0,0,-79.42,0.0,79.42,,,2098.3,,,100.0,24.8,155
1.298,SIGUE_MURO,0,0,0,-79.42,0.0,79.42,,,1979.7,,,100.0,24.8,158
1.315,SIGUE_MURO,0,0,0,-79.42,0.0,79.42,,,1914.6,,,100.0,24.8,158
1.348,SIGUE_MURO,0,0,0,-79.42,0.0,71.33,,,1890.2,,856.8,100.0,24.8,160
1.365,SIGUE_MURO,0,0,0,-79.42,0.0,70.14,,,1876.9,,856.8,100.0,24.8,160
1.398,SIGUE_MURO,0,0,0,-79.42,0.0,73.23,,,1869.5,,1066.7,100.0,24.8,161
1.415,SIGUE_MURO,0,0,0,-79.42,0.0,74.93,,,1865.5,,1066.7,100.0,24.8,161
1.44,SIGUE_MURO,0,0,0,-79.42,0.0,75.86,,,1863.2,,1066.7,100.0,24.8,161
1.473,SIGUE_MURO,0,0,0,-79.42,0.0,77.78,,,1863.4,,1076.3,100.0,24.8,161
1.49,SIGUE_MURO,0,0,0,-79.42,0.0,78.84,,,1863.4,,1076.3,100.0,24.8,161
1.523,SIGUE_MURO,0,0,0,0.0,0.0,-5.09,,,1862.1,,858.5,89.5,26.9,157
1.541,SIGUE_MURO,0,0,0,0.0,0.0,-7.58,,,1861.4,,858.5,79.0,29.0,157
1.574,SIGUE_MURO,0,0,0,0.0,0.0,-1.69,,,1859.6,,1060.0,68.4,31.1,157
1.591,SIGUE_MURO,0,0,0,0.0,0.0,1.55,,,1858.6,,1060.0,57.9,33.3,157
1.616,SIGUE_MURO,0,0,0,0.0,0.0,3.33,,,1858.1,,1060.0,47.4,35.4,157
1.649,SIGUE_MURO,0,0,0,0.0,0.0,1.53,,,1860.5,,1088.5,36.8,37.5,154
1.666,SIGUE_MURO,0,0,0,0.0,0.0,0.54,,,1861.9,,1088.5,26.3,39.7,154
1.699,SIGUE_MURO,0,0,0,0.02,0.0,-4.74,,,1859.8,,1163.6,15.7,41.8,166
1.716,SIGUE_MURO,0,0,0,0.02,0.0,-7.63,,,1858.7,,1163.6,5.2,44.0,166
1.749,SIGUE_MURO,0,0,0,0.55,0.0,-2.11,,,1856.6,,1069.3,-5.1,44.0,163
1.766,SIGUE_MURO,0,0,0,0.55,0.0,1.22,,,1855.5,,1069.3,2.9,44.4,163
1.8,SIGUE_MURO,0,0,0,1.41,0.0,-1.41,,,1846.2,,,-3.4,44.3,171
1.817,SIGUE_MURO,0,0,0,1.41,0.0,-1.41,,,1841.1,,,-3.4,44.3,171
1.842,SIGUE_MURO,0,0,0,3.03,0.0,-3.03,,,1838.3,,,-7.3,43.5,171
1.874,SIGUE_MURO,0,0,0,3.03,0.0,8.56,,,2001.1,,1039.3,3.3,44.3,167
1.892,SIGUE_MURO,0,0,0,6.85,0.0,0.3,,,2090.6,,1039.3,0.7,44.9,167
1.925,SIGUE_MURO,0,0,0,6.85,0.0,-2.99,,,1956.3,,990.2,-7.2,43.5,159
