t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.018,RECUPERANDO,0,0,0,142.8,0.0,0.0,,,156.7,,,-0.0,-38.0,102
0.043,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,102
0.068,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,104
0.093,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,104
0.118,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,104
0.143,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,104
0.168,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,104
0.193,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,101
0.218,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,101
0.243,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,101
0.268,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,102
0.293,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,102
0.318,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,102
0.343,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,99
0.368,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,99
0.393,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,102
0.418,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,102
0.443,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,102
0.469,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,103
0.494,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,103
0.519,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,103
0.544,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,101
0.569,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,101
0.594,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,100
0.619,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,100
0.645,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,100
0.67,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,102
0.695,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,102
0.719,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,101
0.744,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,0.0,-38.0,101
0.77,RECUPERANDO,0,0,0,142.78,0.0,0.0,,,156.7,,,-0.0,-38.0,101
