t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.019,SIGUE_MURO,0,0,0,-1026.85,0.0,-49.22,,,2200.0,,1457.6,-10.5,42.9,60
0.038,SIGUE_MURO,0,0,0,-1026.85,0.0,-49.22,,,2200.0,,1457.6,-21.1,40.7,60
0.068,SIGUE_MURO,0,0,0,-1026.85,0.0,-49.22,,,2200.0,,1457.6,-31.6,38.6,63
0.093,SIGUE_MURO,0,0,0,-1026.85,0.0,-49.22,,,2200.0,,1457.6,-42.1,36.5,60
0.113,SIGUE_MURO,0,0,0,-1026.85,0.0,-49.22,,,2200.0,,1457.6,-52.6,34.3,60
0.143,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-63.2,32.2,61
0.168,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,62
0.188,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,62
0.218,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,62
0.243,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
0.268,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,63
0.288,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,63
0.319,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
0.344,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,60
0.364,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,60
0.394,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,60
0.419,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,60
0.439,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,60
0.469,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,64
0.494,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
0.514,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
0.544,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
0.569,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
0.589,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
0.619,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,64
0.644,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
0.669,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,63
0.689,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,63
0.719,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,747.8,704.2,2200.0,1227.3,1445.1,-65.2,31.8,64
0.745,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,750.3,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
0.765,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,751.7,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
0.795,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,752.5,704.2,2200.0,1227.3,1457.6,-65.2,31.8,62
0.82,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,752.9,704.2,2200.0,1227.3,1457.6,-65.2,31.8,63
0.84,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.1,704.2,2200.0,1227.3,1457.6,-65.2,31.8,63
0.87,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.2,704.2,2200.0,1227.3,1457.6,-65.2,31.8,68
0.895,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.3,704.2,2200.0,1227.3,1457.6,-65.2,31.8,62
0.915,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,62
0.945,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,63
0.97,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
0.995,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
1.016,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
1.046,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,63
1.071,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,62
1.091,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,62
1.121,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,63
1.146,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,60
1.166,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,60
1.196,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,62
1.221,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,62
1.241,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,62
1.271,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
1.297,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
1.316,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,61
1.346,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,63
1.371,SIGUE_MURO,1,0,0,-1026.85,0.0,-27.15,753.4,704.2,2200.0,1227.3,1457.6,-65.2,31.8,63
