t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.014,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1955.3,,,-10.5,42.9,180
0.045,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1955.3,,,-21.1,40.7,182
0.07,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1954.0,,,-31.6,38.6,181
0.089,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1953.3,,,-42.1,36.5,181
0.12,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1951.7,,1922.3,-52.6,34.3,180
0.145,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1952.0,,1920.8,-63.2,32.2,181
0.164,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1952.2,,1920.8,-73.7,30.1,181
0.194,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1952.3,,,-84.2,27.9,181
0.22,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1955.0,,1920.8,-94.7,25.8,179
0.245,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1953.9,,2001.3,-100.0,24.8,180
0.265,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1953.2,,2001.3,-100.0,24.8,180
0.296,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1956.8,,,-100.0,24.8,180
0.321,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1954.8,,1918.0,-100.0,24.8,181
0.34,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1953.8,,1918.0,-100.0,24.8,181
0.37,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1953.2,,,-100.0,24.8,181
0.396,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1956.7,,2002.8,-100.0,24.8,182
0.415,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1958.7,,2002.8,-100.0,24.8,182
0.446,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1955.9,,2001.3,-100.0,24.8,181
0.471,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1954.4,,1920.8,-100.0,24.8,182
0.49,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1953.5,,1920.8,-100.0,24.8,182
0.521,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1953.0,,1918.0,-100.0,24.8,181
0.546,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1945.3,,1923.0,-100.0,24.8,180
0.565,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1941.0,,1923.0,-100.0,24.8,180
0.595,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1950.0,,,-100.0,24.8,182
0.621,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1952.4,,1922.3,-100.0,24.8,180
0.647,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1944.9,,1922.3,-100.0,24.8,182
0.666,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1940.8,,1922.3,-100.0,24.8,182
0.697,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1946.1,,1922.3,-100.0,24.8,181
0.721,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1951.5,,1997.0,-100.0,24.8,181
0.741,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1954.5,,1997.0,-100.0,24.8,181
0.772,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1952.3,,1998.5,-100.0,24.8,181
0.797,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1951.1,,1920.8,-100.0,24.8,181
0.816,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1950.5,,1920.8,-100.0,24.8,181
0.846,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1951.4,,,-100.0,24.8,182
0.871,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1943.1,,,-100.0,24.8,180
0.891,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1938.5,,,-100.0,24.8,180
0.921,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1946.1,,,-100.0,24.8,180
0.947,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1947.7,,1920.8,-100.0,24.8,183
0.966,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1948.6,,1920.8,-100.0,24.8,183
0.996,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1951.6,,,-100.0,24.8,180
1.022,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1944.5,,1916.5,-100.0,24.8,180
1.049,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1940.6,,1998.5,-100.0,24.8,182
1.067,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1938.4,,1998.5,-100.0,24.8,182
1.098,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1944.7,,1922.3,-100.0,24.8,181
1.123,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1948.2,,2001.3,-100.0,24.8,180
1.142,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1950.1,,2001.3,-100.0,24.8,180
1.172,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1943.7,,,-100.0,24.8,181
1.197,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1950.2,,,-100.0,24.8,181
1.217,SIGUE_MURO,0,0,0,-630.1,0.0,-89.9,,,1953.8,,,-100.0,24.8,181
1.248,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1954.5,,1920.8,-100.0,24.8,181
1.273,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1946.1,,2002.8,-100.0,24.8,181
1.292,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1941.4,,2002.8,-100.0,24.8,181
1.323,SIGUE_MURO,0,0,0,-630.1,0.0,-63.9,,,1947.7,,1920.8,-100.0,24.8,180
1.347,RECUPERANDO,0,0,0,-630.1,0.0,-63.9,,,1951.1,,,60.0,-38.0,181
1.373,RECUPERANDO,0,0,0,-630.1,0.0,-63.9,,,1951.7,,2001.3,-60.0,-38.0,181
1.392,RECUPERANDO,0,0,0,-630.1,0.0,-63.9,,,1952.1,,2001.3,60.0,-38.0,181
1.424,RECUPERANDO,0,0,0,-630.1,0.0,-63.9,,,1954.8,,,-60.0,-38.0,181
1.448,RECUPERANDO,0,0,0,-630.1,0.0,-63.9,,,1952.5,,,60.0,-38.0,181
