t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.005,SIGUE_MURO,0,0,0,176.77,0.0,-176.77,,,2200.0,,,-10.5,42.9,76
0.03,SIGUE_MURO,0,0,0,176.77,0.0,-176.77,,,2200.0,,,-21.0,40.7,76
0.056,SIGUE_MURO,0,0,0,176.77,0.0,-176.77,,,2200.0,,,-31.6,38.6,76
0.079,SIGUE_MURO,0,0,0,176.77,0.0,-176.77,,,2200.0,,,-42.1,36.5,79
0.105,SIGUE_MURO,0,0,0,176.77,0.0,-176.77,,,2200.0,,,-52.6,34.3,79
0.13,SIGUE_MURO,-1,0,0,176.77,0.0,157.31,520.2,,2200.0,1211.2,,-42.1,36.5,79
0.155,SIGUE_MURO,-1,0,0,176.77,0.0,157.38,520.2,,2200.0,1211.2,,-31.6,38.6,79
0.18,SIGUE_MURO,-1,0,0,176.77,0.0,157.46,520.2,,2200.0,1211.2,,-21.1,40.7,79
0.205,SIGUE_MURO,-1,0,0,176.77,0.0,157.53,520.2,,2200.0,1211.2,,-10.5,42.9,79
0.23,SIGUE_MURO,-1,0,0,176.77,0.0,157.61,520.2,,2200.0,1211.2,,-0.0,45.0,79
0.255,SIGUE_MURO,-1,0,0,176.77,0.0,157.68,520.2,,2200.0,1211.2,,10.5,42.9,79
0.281,SIGUE_MURO,-1,0,0,176.77,0.0,157.76,523.5,,2200.0,1211.2,,21.0,40.7,79
0.305,SIGUE_MURO,-1,0,0,176.77,0.0,157.83,525.3,,2200.0,1211.2,,31.6,38.6,79
0.33,SIGUE_MURO,-1,0,0,176.77,0.0,157.91,526.3,,2200.0,1211.2,,42.1,36.5,79
0.355,SIGUE_MURO,-1,0,0,176.77,0.0,157.98,526.9,,2200.0,1211.2,,52.6,34.3,79
0.38,SIGUE_MURO,-1,0,0,176.77,0.0,158.06,527.2,,2200.0,1211.2,,63.2,32.2,79
0.405,SIGUE_MURO,-1,0,0,176.77,0.0,158.13,527.4,,2200.0,1211.2,,73.7,30.1,79
0.43,SIGUE_MURO,-1,0,0,176.77,0.0,158.21,527.5,,2200.0,1211.2,,84.2,27.9,79
0.455,SIGUE_MURO,-1,0,0,176.77,0.0,158.28,527.5,,2200.0,1211.2,,94.7,25.8,79
0.48,SIGUE_MURO,-1,0,0,176.77,0.0,158.36,516.2,,2200.0,,,100.0,24.8,75
0.507,SIGUE_MURO,-1,0,0,176.77,0.0,158.43,509.9,,2200.0,,,100.0,24.8,75
0.531,SIGUE_MURO,-1,0,0,176.77,0.0,158.51,506.5,,2200.0,,,100.0,24.8,75
0.556,SIGUE_MURO,-1,0,0,176.77,0.0,158.58,504.6,,2200.0,,,100.0,24.8,75
0.581,SIGUE_MURO,-1,0,0,176.77,0.0,158.66,503.6,,2200.0,,,100.0,24.8,75
0.606,SIGUE_MURO,-1,0,0,176.77,0.0,158.73,503.0,,2200.0,,,100.0,24.8,75
