t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.015,SIGUE_MURO,0,0,0,270.25,0.0,75.81,,,2200.0,,1006.5,10.5,42.9,75
0.04,SIGUE_MURO,0,0,0,270.28,0.0,75.78,,,2200.0,,1006.5,21.1,40.7,75
0.065,SIGUE_MURO,0,0,0,270.28,0.0,75.78,,,2200.0,,1006.5,31.6,38.6,75
0.09,SIGUE_MURO,0,0,0,270.28,0.0,75.73,,,2200.0,,1005.1,42.1,36.5,75
0.115,SIGUE_MURO,0,0,0,270.28,0.0,75.71,,,2200.0,,1005.1,52.6,34.3,75
0.14,SIGUE_MURO,1,0,0,270.28,0.0,101.6,414.7,590.3,2200.0,915.0,1005.1,63.1,32.2,75
0.165,SIGUE_MURO,1,0,0,270.28,0.0,101.53,414.7,590.3,2200.0,915.0,1005.1,73.7,30.1,75
0.19,SIGUE_MURO,1,0,0,270.28,0.0,101.45,414.7,590.3,2200.0,915.0,1005.1,84.2,27.9,75
0.215,SIGUE_MURO,1,0,0,270.28,0.0,101.38,414.7,590.3,2200.0,915.0,1005.1,94.7,25.8,75
0.241,SIGUE_MURO,1,0,0,270.28,0.0,101.3,414.7,590.3,2200.0,915.0,1005.1,100.0,24.8,75
0.268,SIGUE_MURO,1,0,0,270.28,0.0,101.31,415.3,590.3,2200.0,915.0,1006.2,100.0,24.8,75
0.291,SIGUE_MURO,1,0,0,270.28,0.0,101.28,415.6,590.3,2200.0,915.0,1006.2,100.0,24.8,75
0.316,SIGUE_MURO,1,0,0,270.28,0.0,101.23,415.7,590.3,2200.0,915.0,1006.2,100.0,24.8,75
0.341,SIGUE_MURO,1,0,0,270.28,0.0,101.17,415.8,590.3,2200.0,915.0,1006.2,100.0,24.8,75
0.366,SIGUE_MURO,1,0,0,270.28,0.0,101.1,415.8,590.3,2200.0,915.0,1006.2,100.0,24.8,75
0.391,SIGUE_MURO,1,0,0,270.28,0.0,101.03,415.9,590.3,2200.0,915.0,1006.2,100.0,24.8,75
0.416,SIGUE_MURO,1,0,0,270.28,0.0,100.96,415.9,590.3,2200.0,915.0,1006.2,100.0,24.8,75
0.441,SIGUE_MURO,1,0,0,270.28,0.0,100.89,415.9,590.3,2200.0,915.0,1006.3,100.0,24.8,76
0.466,SIGUE_MURO,1,0,0,270.28,0.0,100.82,416.0,590.3,2200.0,915.0,1006.3,100.0,24.8,76
0.491,SIGUE_MURO,1,0,0,270.28,0.0,100.75,416.0,590.3,2200.0,915.0,1006.3,100.0,24.8,76
0.516,SIGUE_MURO,1,0,0,270.28,0.0,100.68,416.0,590.3,2200.0,915.0,1006.3,100.0,24.8,76
0.541,SIGUE_MURO,1,0,0,270.28,0.0,100.6,416.0,590.3,2200.0,915.0,1006.3,100.0,24.8,76
