t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.014,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-10.5,42.9,39
0.038,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-21.1,40.7,39
0.063,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
0.088,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.113,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.138,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.164,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.188,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.214,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.238,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.264,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.289,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,40
0.314,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,40
0.339,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,40
0.364,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,40
0.389,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,40
0.415,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,40
0.439,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,40
0.464,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,40
0.489,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.514,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.54,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.565,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.591,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.615,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.641,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.666,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
0.69,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
0.715,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
0.74,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
0.765,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
0.791,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
0.816,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
0.841,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
0.866,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
0.891,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,37
0.916,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,37
0.941,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,37
0.966,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,37
0.991,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,37
1.016,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,37
1.043,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,37
1.066,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,37
1.091,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
1.116,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
1.141,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
1.166,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
1.191,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
1.217,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
1.242,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
1.268,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,38
1.293,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
1.317,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
1.342,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
1.367,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
1.392,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
1.417,SIGUE_MURO,0,0,0,12.8,0.0,-12.8,,,2200.0,,,-30.7,38.8,39
