t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.022,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-10.5,30.5,214
0.04,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-21.1,29.0,214
0.065,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-31.6,27.5,214
0.097,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-42.1,25.9,214
0.115,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-52.6,24.4,214
0.147,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-63.2,22.9,214
0.166,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-71.2,22.0,214
0.197,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-71.2,22.0,214
0.216,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-71.2,22.0,214
0.241,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-71.2,22.0,214
0.272,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-71.2,22.0,214
0.291,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-71.2,22.0,214
0.322,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-71.2,22.0,214
0.341,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-71.2,22.0,214
0.373,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-71.2,22.0,214
0.391,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-71.2,22.0,214
0.423,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-71.2,22.0,214
0.441,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-71.2,22.0,214
0.466,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-71.2,22.0,214
0.498,SIGUE_MURO,0,0,0,29.65,0.0,-29.65,,,300.4,,,-71.2,22.0,214
