t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.017,SIGUE_MURO,0,0,0,1204.86,0.0,-135.71,,,2021.5,,997.1,-10.5,42.9,177
0.044,SIGUE_MURO,0,0,0,1204.86,0.0,-136.35,,,2021.5,,972.1,-21.0,40.7,177
0.067,SIGUE_MURO,0,0,0,1204.86,0.0,-136.71,,,2021.5,,972.1,-31.6,38.6,177
0.092,SIGUE_MURO,0,0,0,1204.86,0.0,-136.9,,,2021.5,,972.1,-42.1,36.5,177
0.118,SIGUE_MURO,0,0,0,1204.86,0.0,-137.01,,,2021.5,,972.1,-52.6,34.3,177
0.144,SIGUE_MURO,0,0,0,1204.86,0.0,-137.07,,,2021.5,,972.1,-63.1,32.2,177
0.167,SIGUE_MURO,0,0,0,1204.86,0.0,-137.1,,,2021.5,,972.1,-73.7,30.1,177
0.192,SIGUE_MURO,0,0,0,1204.86,0.0,-137.12,,,2021.5,,972.1,-84.2,27.9,177
0.217,SIGUE_MURO,0,0,0,1204.86,0.0,-137.13,,,2021.5,,972.1,-94.7,25.8,177
0.243,SIGUE_MURO,0,0,0,1204.86,0.0,-130.34,,,2021.5,,1158.7,-100.0,24.8,177
0.269,SIGUE_MURO,0,0,0,1204.86,0.0,-126.61,,,2021.5,,1158.7,-100.0,24.8,177
0.292,SIGUE_MURO,0,0,0,1204.86,0.0,-124.56,,,2021.5,,1158.7,-100.0,24.8,177
0.317,SIGUE_MURO,0,0,0,1204.86,0.0,-123.43,,,2021.5,,1158.7,-100.0,24.8,177
0.342,SIGUE_MURO,0,0,0,1204.86,0.0,-122.81,,,2021.5,,1158.7,-100.0,24.8,177
0.369,SIGUE_MURO,1,0,0,1204.86,0.0,-98.78,596.9,561.8,2021.5,1031.2,1158.7,-100.0,24.8,177
0.393,SIGUE_MURO,1,0,0,1204.86,0.0,-98.71,596.9,561.8,2021.5,1031.2,1158.7,-100.0,24.8,177
0.418,SIGUE_MURO,1,0,0,1204.86,0.0,-98.63,596.9,561.8,2021.5,1031.2,1158.7,-100.0,24.8,177
0.443,SIGUE_MURO,1,0,0,1204.86,0.0,-98.56,564.1,560.6,2021.5,,1083.3,-100.0,24.8,177
0.468,SIGUE_MURO,1,0,0,1204.86,0.0,-98.48,546.1,560.0,2021.5,,1083.3,-100.0,24.8,177
0.494,SIGUE_MURO,1,0,0,1204.86,0.0,-98.41,536.2,559.7,2021.5,,1083.3,-100.0,24.8,177
0.518,SIGUE_MURO,1,0,0,1204.86,0.0,-98.33,530.7,559.5,2021.5,,1083.3,-100.0,24.8,177
0.543,SIGUE_MURO,1,0,0,1204.86,0.0,-98.26,527.7,559.4,2021.5,,1083.3,-100.0,24.8,177
0.568,SIGUE_MURO,1,0,0,1204.86,0.0,-98.18,526.1,559.3,2021.5,,1083.3,-100.0,24.8,177
0.594,SIGUE_MURO,1,0,0,1204.86,0.0,-98.11,525.2,559.3,2021.5,,1083.3,-100.0,24.8,177
0.619,SIGUE_MURO,1,0,0,1204.86,0.0,-98.03,524.7,559.3,2021.5,,1083.3,-100.0,24.8,177
0.643,SIGUE_MURO,1,0,0,1204.86,0.0,-97.96,483.4,562.0,2021.5,,998.4,-100.0,24.8,177
0.668,SIGUE_MURO,1,0,0,1204.86,0.0,-97.88,460.8,563.5,2021.5,,998.4,-100.0,24.8,177
0.695,SIGUE_MURO,1,0,0,1204.86,0.0,-97.81,448.3,564.3,2021.5,,998.4,-100.0,24.8,177
0.718,SIGUE_MURO,1,0,0,1204.86,0.0,-97.73,441.5,564.8,2021.5,,998.4,-100.0,24.8,177
0.744,SIGUE_MURO,1,0,0,1204.86,0.0,-97.66,437.7,565.0,2021.5,,998.4,-100.0,24.8,177
0.769,SIGUE_MURO,1,0,0,1204.86,0.0,-97.58,435.6,565.2,2021.5,,998.4,-100.0,24.8,177
0.794,SIGUE_MURO,1,0,0,1204.86,0.0,-97.51,434.5,565.2,2021.5,,998.4,-100.0,24.8,177
0.82,SIGUE_MURO,1,0,0,1204.86,0.0,-97.43,433.8,565.3,2021.5,,998.4,-100.0,24.8,177
0.844,SIGUE_MURO,1,0,0,1204.86,0.0,-97.36,429.1,564.3,2021.5,,986.6,-100.0,24.8,177
0.869,SIGUE_MURO,1,0,0,1204.86,0.0,-97.28,426.6,563.8,2021.5,,986.6,-100.0,24.8,177
0.894,SIGUE_MURO,1,0,0,1204.86,0.0,-97.21,425.1,563.5,2021.5,,986.6,-100.0,24.8,177
0.92,SIGUE_MURO,1,0,0,1204.86,0.0,-97.13,424.4,563.4,2021.5,,986.6,-100.0,24.8,177
0.944,SIGUE_MURO,1,0,0,1204.86,0.0,-97.06,423.9,563.3,2021.5,,986.6,-100.0,24.8,177
0.969,SIGUE_MURO,1,0,0,1204.86,0.0,-96.98,423.7,563.2,2021.5,,986.6,-100.0,24.8,177
0.994,SIGUE_MURO,1,0,0,1204.86,0.0,-96.91,423.6,563.2,2021.5,,986.6,-100.0,24.8,177
1.02,SIGUE_MURO,1,0,0,1204.86,0.0,-96.83,423.5,563.2,2021.5,,986.6,-100.0,24.8,177
1.045,SIGUE_MURO,1,0,0,1204.86,0.0,-96.75,426.2,560.6,2021.5,,986.9,-100.0,24.8,177
1.069,SIGUE_MURO,1,0,0,1204.86,0.0,-96.68,427.7,559.1,2021.5,,986.9,-100.0,24.8,177
1.094,SIGUE_MURO,1,0,0,1204.86,0.0,-96.6,428.5,558.3,2021.5,,986.9,-100.0,24.8,177
1.12,SIGUE_MURO,1,0,0,1204.86,0.0,-96.53,429.0,557.9,2021.5,,986.9,-100.0,24.8,177
1.145,SIGUE_MURO,1,0,0,1204.86,0.0,-96.45,429.2,557.6,2021.5,,986.9,-100.0,24.8,177
1.17,SIGUE_MURO,1,0,0,1204.86,0.0,-96.38,429.3,557.5,2021.5,,986.9,-100.0,24.8,177
1.195,SIGUE_MURO,1,0,0,1204.86,0.0,-96.3,429.4,557.4,2021.5,,986.9,-100.0,24.8,177
1.22,SIGUE_MURO,1,0,0,1204.86,0.0,-96.23,429.5,557.4,2021.5,,986.9,-100.0,24.8,177
1.246,SIGUE_MURO,1,0,0,1204.86,0.0,-96.15,431.4,560.8,2021.5,,998.7,-100.0,24.8,177
1.27,SIGUE_MURO,1,0,0,1204.86,0.0,-96.08,432.4,562.7,2021.5,,998.7,-100.0,24.8,177
1.295,SIGUE_MURO,1,0,0,1204.86,0.0,-96.0,433.0,563.7,2021.5,,998.7,-100.0,24.8,177
1.32,SIGUE_MURO,1,0,0,1204.86,0.0,-95.93,433.3,564.3,2021.5,,998.7,-100.0,24.8,177
1.345,SIGUE_MURO,1,0,0,1204.86,0.0,-95.85,433.5,564.6,2021.5,,998.7,-100.0,24.8,177
1.37,SIGUE_MURO,1,0,0,1204.86,0.0,-95.78,433.6,564.7,2021.5,,998.7,-100.0,24.8,177
1.395,SIGUE_MURO,1,0,0,1204.86,0.0,-95.7,433.6,564.8,2021.5,,998.7,-100.0,24.8,177
1.42,SIGUE_MURO,1,0,0,1204.86,0.0,-95.63,433.7,564.9,2021.5,,998.7,-100.0,24.8,177
1.445,SIGUE_MURO,1,0,0,1204.86,0.0,-95.55,441.1,564.6,2021.5,,1014.3,-100.0,24.8,177
1.472,SIGUE_MURO,1,0,0,1204.86,0.0,-95.48,445.1,564.4,2021.5,,1014.3,-100.0,24.8,177
1.496,SIGUE_MURO,1,0,0,1204.86,0.0,-95.4,447.4,564.3,2021.5,,1014.3,-100.0,24.8,177
1.521,SIGUE_MURO,1,0,0,1204.86,0.0,-95.33,448.6,564.3,2021.5,,1014.3,-100.0,24.8,177
1.546,SIGUE_MURO,1,0,0,1204.86,0.0,-95.25,449.3,564.2,2021.5,,1014.3,-100.0,24.8,177
1.571,SIGUE_MURO,1,0,0,1204.86,0.0,-95.18,449.7,564.2,2021.5,,1014.3,-100.0,24.8,177
1.596,SIGUE_MURO,1,0,0,0.0,0.0,29.68,449.9,564.2,2021.5,,1014.3,-89.5,26.9,177
1.621,SIGUE_MURO,1,0,0,0.0,0.0,29.68,450.0,564.2,2021.5,,1014.3,-79.0,29.0,177
1.646,SIGUE_MURO,1,0,0,0.0,0.0,29.74,430.1,560.8,2021.5,,962.3,-68.4,31.1,177
1.671,SIGUE_MURO,1,0,0,0.0,0.0,29.8,419.1,558.9,2021.5,,962.3,-57.9,33.3,177
1.696,SIGUE_MURO,1,0,0,0.04,0.0,29.82,413.1,557.9,2021.5,,962.3,-47.4,35.4,177
1.721,SIGUE_MURO,1,0,0,0.04,0.0,29.87,409.7,557.3,2021.5,,962.3,-36.9,37.5,177
