t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.023,SIGUE_MURO,0,0,0,367.79,0.0,-23.36,,,2200.0,,490.4,-10.5,42.9,162
0.039,SIGUE_MURO,0,0,0,367.79,0.0,-23.36,,,2200.0,,490.4,-21.1,40.7,162
0.064,SIGUE_MURO,0,0,0,367.79,0.0,-23.36,,,2200.0,,490.4,-31.6,38.6,162
0.098,SIGUE_MURO,0,0,0,367.79,0.0,-15.94,,,2200.0,,531.3,-38.3,37.3,162
0.114,SIGUE_MURO,0,0,0,367.79,0.0,-11.87,,,2200.0,,531.3,-28.5,39.2,162
0.139,SIGUE_MURO,0,0,0,367.79,0.0,-9.62,,,2200.0,,531.3,-23.1,40.3,162
0.164,SIGUE_MURO,0,0,0,367.79,0.0,-8.39,,,2200.0,,531.3,-20.1,40.9,162
0.199,SIGUE_MURO,0,0,0,367.79,0.0,-11.81,,,2200.0,,419.4,-28.4,39.3,162
0.215,SIGUE_MURO,0,0,0,367.79,0.0,-13.69,,,2200.0,,419.4,-32.9,38.3,162
0.24,SIGUE_MURO,0,0,0,367.79,0.0,-14.73,,,2200.0,,419.4,-35.4,37.8,162
0.278,SIGUE_MURO,0,0,0,367.79,0.0,-7.79,,,2200.0,,,-24.3,40.1,164
0.291,SIGUE_MURO,0,0,0,367.79,0.0,-7.79,,,2200.0,,,-18.7,41.2,164
0.316,SIGUE_MURO,0,0,0,367.79,0.0,-7.79,,,2200.0,,,-18.7,41.2,164
0.341,SIGUE_MURO,0,0,0,367.79,0.0,-7.79,,,2200.0,,,-18.7,41.2,164
